segment_id,name,description,criteria,created_by,created_at
1,Preventive Care 35-49 - West,Preventive Care audience aged 35-49 in the West region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Preventive Care"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",386,2025-11-19T21:43:55
2,Neurology 65+ - West,Neurology audience aged 65+ in the West region,"{""age_band"": ""65+"", ""specialty_interest"": ""Neurology"", ""region"": ""West"", ""risk_profile"": ""Low risk""}",159,2026-01-05T13:50:29
3,Neurology 65+ - Midwest,Neurology audience aged 65+ in the Midwest region,"{""age_band"": ""65+"", ""specialty_interest"": ""Neurology"", ""region"": ""Midwest"", ""risk_profile"": ""High risk""}",485,2025-07-04T13:23:17
4,Preventive Care 65+ - Midwest,Preventive Care audience aged 65+ in the Midwest region,"{""age_band"": ""65+"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Midwest"", ""risk_profile"": ""Moderate risk""}",258,2025-06-01T04:33:47
5,Oncology 65+ - Southeast,Oncology audience aged 65+ in the Southeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Oncology"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",71,2026-02-24T13:56:07
6,Diabetes 50-64 - National,Diabetes audience aged 50-64 in the National region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Diabetes"", ""region"": ""National"", ""risk_profile"": ""Moderate risk""}",448,2025-01-30T19:53:42
7,Cardiology 18-34 - Midwest,Cardiology audience aged 18-34 in the Midwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Cardiology"", ""region"": ""Midwest"", ""risk_profile"": ""Low risk""}",391,2024-08-20T00:26:18
8,Preventive Care 50-64 - West,Preventive Care audience aged 50-64 in the West region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Preventive Care"", ""region"": ""West"", ""risk_profile"": ""Low risk""}",426,2025-03-23T07:04:46
9,Neurology 18-34 - Southwest,Neurology audience aged 18-34 in the Southwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Neurology"", ""region"": ""Southwest"", ""risk_profile"": ""Moderate risk""}",477,2024-05-08T05:10:06
10,Diabetes 65+ - Southwest,Diabetes audience aged 65+ in the Southwest region,"{""age_band"": ""65+"", ""specialty_interest"": ""Diabetes"", ""region"": ""Southwest"", ""risk_profile"": ""High risk""}",192,2024-10-17T15:13:18
11,Cardiology 65+ - Midwest,Cardiology audience aged 65+ in the Midwest region,"{""age_band"": ""65+"", ""specialty_interest"": ""Cardiology"", ""region"": ""Midwest"", ""risk_profile"": ""Low risk""}",15,2024-12-21T00:42:59
12,Pulmonology 18-34 - Southeast,Pulmonology audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Southeast"", ""risk_profile"": ""Low risk""}",20,2024-11-26T07:49:10
13,Oncology 65+ - National,Oncology audience aged 65+ in the National region,"{""age_band"": ""65+"", ""specialty_interest"": ""Oncology"", ""region"": ""National"", ""risk_profile"": ""Moderate risk""}",230,2025-08-08T10:55:22
14,Cardiology 18-34 - Northeast,Cardiology audience aged 18-34 in the Northeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Cardiology"", ""region"": ""Northeast"", ""risk_profile"": ""Moderate risk""}",111,2026-01-26T00:50:25
15,Dermatology 35-49 - Northeast,Dermatology audience aged 35-49 in the Northeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Dermatology"", ""region"": ""Northeast"", ""risk_profile"": ""Moderate risk""}",122,2024-12-07T09:51:54
16,Diabetes 18-34 - Southeast,Diabetes audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Diabetes"", ""region"": ""Southeast"", ""risk_profile"": ""Moderate risk""}",328,2025-12-25T03:21:07
17,Cardiology 65+ - Northeast,Cardiology audience aged 65+ in the Northeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Cardiology"", ""region"": ""Northeast"", ""risk_profile"": ""Moderate risk""}",306,2025-06-07T20:46:00
18,Neurology 18-34 - National,Neurology audience aged 18-34 in the National region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Neurology"", ""region"": ""National"", ""risk_profile"": ""Low risk""}",150,2025-03-16T21:35:34
19,Pulmonology 18-34 - Southeast,Pulmonology audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",214,2024-09-09T23:47:03
20,Pulmonology 18-34 - Northeast,Pulmonology audience aged 18-34 in the Northeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Northeast"", ""risk_profile"": ""High risk""}",279,2025-05-16T13:16:25
21,Dermatology 18-34 - Southwest,Dermatology audience aged 18-34 in the Southwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Dermatology"", ""region"": ""Southwest"", ""risk_profile"": ""Low risk""}",326,2025-02-11T23:59:25
22,Primary Care 50-64 - National,Primary Care audience aged 50-64 in the National region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Primary Care"", ""region"": ""National"", ""risk_profile"": ""Low risk""}",183,2025-12-20T23:04:42
23,Pulmonology 18-34 - Southeast,Pulmonology audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",337,2025-08-18T11:33:31
24,Pulmonology 18-34 - Southeast,Pulmonology audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Southeast"", ""risk_profile"": ""Low risk""}",181,2025-06-15T14:26:02
25,Oncology 50-64 - National,Oncology audience aged 50-64 in the National region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Oncology"", ""region"": ""National"", ""risk_profile"": ""Moderate risk""}",357,2025-04-24T04:28:03
26,Oncology 35-49 - Northeast,Oncology audience aged 35-49 in the Northeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Oncology"", ""region"": ""Northeast"", ""risk_profile"": ""High risk""}",398,2025-04-07T23:45:56
27,Primary Care 18-34 - Southeast,Primary Care audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Primary Care"", ""region"": ""Southeast"", ""risk_profile"": ""Low risk""}",406,2024-09-19T10:23:13
28,Pulmonology 18-34 - Midwest,Pulmonology audience aged 18-34 in the Midwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Midwest"", ""risk_profile"": ""High risk""}",204,2026-01-10T20:16:15
29,Primary Care 65+ - Northeast,Primary Care audience aged 65+ in the Northeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Primary Care"", ""region"": ""Northeast"", ""risk_profile"": ""High risk""}",98,2024-11-25T17:29:37
30,Diabetes 50-64 - National,Diabetes audience aged 50-64 in the National region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Diabetes"", ""region"": ""National"", ""risk_profile"": ""Moderate risk""}",140,2024-07-23T04:22:56
31,Dermatology 50-64 - Southwest,Dermatology audience aged 50-64 in the Southwest region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Dermatology"", ""region"": ""Southwest"", ""risk_profile"": ""High risk""}",226,2026-03-13T09:15:05
32,Pulmonology 65+ - Southeast,Pulmonology audience aged 65+ in the Southeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Southeast"", ""risk_profile"": ""Moderate risk""}",355,2025-05-08T22:30:29
33,Primary Care 50-64 - Northeast,Primary Care audience aged 50-64 in the Northeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Primary Care"", ""region"": ""Northeast"", ""risk_profile"": ""High risk""}",218,2024-06-17T19:18:21
34,Oncology 65+ - West,Oncology audience aged 65+ in the West region,"{""age_band"": ""65+"", ""specialty_interest"": ""Oncology"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",165,2024-07-06T04:33:49
35,Pulmonology 18-34 - National,Pulmonology audience aged 18-34 in the National region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Pulmonology"", ""region"": ""National"", ""risk_profile"": ""Moderate risk""}",157,2025-03-29T20:28:20
36,Oncology 65+ - National,Oncology audience aged 65+ in the National region,"{""age_band"": ""65+"", ""specialty_interest"": ""Oncology"", ""region"": ""National"", ""risk_profile"": ""Moderate risk""}",180,2025-03-30T19:06:03
37,Pulmonology 18-34 - West,Pulmonology audience aged 18-34 in the West region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Pulmonology"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",141,2025-08-27T04:34:18
38,Cardiology 18-34 - National,Cardiology audience aged 18-34 in the National region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Cardiology"", ""region"": ""National"", ""risk_profile"": ""High risk""}",208,2025-01-24T16:36:37
39,Diabetes 35-49 - Southeast,Diabetes audience aged 35-49 in the Southeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Diabetes"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",348,2025-12-15T08:42:38
40,Diabetes 65+ - Southeast,Diabetes audience aged 65+ in the Southeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Diabetes"", ""region"": ""Southeast"", ""risk_profile"": ""Low risk""}",121,2025-12-13T04:34:42
41,Pulmonology 50-64 - Southwest,Pulmonology audience aged 50-64 in the Southwest region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Southwest"", ""risk_profile"": ""High risk""}",17,2025-07-31T11:47:06
42,Preventive Care 35-49 - Midwest,Preventive Care audience aged 35-49 in the Midwest region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Midwest"", ""risk_profile"": ""Moderate risk""}",228,2025-12-01T04:55:32
43,Oncology 18-34 - West,Oncology audience aged 18-34 in the West region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Oncology"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",204,2024-12-17T16:34:09
44,Neurology 50-64 - Northeast,Neurology audience aged 50-64 in the Northeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Neurology"", ""region"": ""Northeast"", ""risk_profile"": ""Low risk""}",377,2024-09-09T00:11:13
45,Dermatology 65+ - West,Dermatology audience aged 65+ in the West region,"{""age_band"": ""65+"", ""specialty_interest"": ""Dermatology"", ""region"": ""West"", ""risk_profile"": ""Low risk""}",135,2025-12-10T10:23:06
