campaign_id,title,description,product,channel,target_region,start_date,end_date,owner_id,budget,status
1,DermAssist SMS Campaign 1,Marketing campaign for DermAssist through SMS,DermAssist,SMS,Northeast,2024-08-15,2024-12-01,200,29318.08,completed
2,RespiraCare Paid Search Campaign 2,Marketing campaign for RespiraCare through Paid Search,RespiraCare,Paid Search,Southeast,2025-03-28,2025-05-27,390,35729.23,paused
3,CareBridge Paid Search Campaign 3,Marketing campaign for CareBridge through Paid Search,CareBridge,Paid Search,Midwest,2025-04-01,2025-06-25,285,9486.69,planned
4,DermAssist Provider Outreach Campaign 4,Marketing campaign for DermAssist through Provider Outreach,DermAssist,Provider Outreach,Southwest,2025-07-25,2025-10-23,402,6048.13,paused
5,NeuroWell Content Marketing Campaign 5,Marketing campaign for NeuroWell through Content Marketing,NeuroWell,Content Marketing,National,2025-12-13,2026-01-06,372,131712.82,paused
6,RespiraCare Webinar Campaign 6,Marketing campaign for RespiraCare through Webinar,RespiraCare,Webinar,Northeast,2024-08-27,2024-09-27,138,124801.61,active
7,RespiraCare Display Ads Campaign 7,Marketing campaign for RespiraCare through Display Ads,RespiraCare,Display Ads,Midwest,2025-03-21,2025-05-09,216,196318.66,completed
8,VitalPath Content Marketing Campaign 8,Marketing campaign for VitalPath through Content Marketing,VitalPath,Content Marketing,Southwest,2024-10-26,2025-02-09,321,155317.19,planned
9,CareBridge SMS Campaign 9,Marketing campaign for CareBridge through SMS,CareBridge,SMS,Southwest,2024-07-31,2024-09-21,4,210878.51,completed
10,OncoGuide Webinar Campaign 10,Marketing campaign for OncoGuide through Webinar,OncoGuide,Webinar,National,2025-03-25,2025-05-20,221,82204.29,active
11,CareBridge SMS Campaign 11,Marketing campaign for CareBridge through SMS,CareBridge,SMS,National,2025-04-24,2025-06-17,91,74987.69,paused
12,DermAssist Provider Outreach Campaign 12,Marketing campaign for DermAssist through Provider Outreach,DermAssist,Provider Outreach,Southwest,2025-07-08,2025-10-30,125,72234.14,completed
13,OncoGuide Referral Campaign 13,Marketing campaign for OncoGuide through Referral,OncoGuide,Referral,National,2024-07-14,2024-10-08,103,9648.28,paused
14,RespiraCare Paid Search Campaign 14,Marketing campaign for RespiraCare through Paid Search,RespiraCare,Paid Search,Southwest,2025-10-19,2025-11-28,225,205284.5,paused
15,NeuroWell Webinar Campaign 15,Marketing campaign for NeuroWell through Webinar,NeuroWell,Webinar,National,2024-08-03,2024-11-06,156,165689.75,paused
16,VitalPath Content Marketing Campaign 16,Marketing campaign for VitalPath through Content Marketing,VitalPath,Content Marketing,Southwest,2025-12-21,2026-02-21,38,121370.97,paused
17,DermAssist Referral Campaign 17,Marketing campaign for DermAssist through Referral,DermAssist,Referral,Northeast,2025-06-13,2025-07-01,405,149673.53,planned
18,DermAssist Organic Search Campaign 18,Marketing campaign for DermAssist through Organic Search,DermAssist,Organic Search,Northeast,2025-12-05,2026-01-19,337,162808.96,paused
19,CareBridge Paid Search Campaign 19,Marketing campaign for CareBridge through Paid Search,CareBridge,Paid Search,Midwest,2025-11-23,2026-01-18,495,5605.3,active
20,NeuroWell Display Ads Campaign 20,Marketing campaign for NeuroWell through Display Ads,NeuroWell,Display Ads,Southwest,2025-05-19,2025-09-05,266,95407.53,active
21,GlucoTrack Webinar Campaign 21,Marketing campaign for GlucoTrack through Webinar,GlucoTrack,Webinar,Northeast,2025-01-10,2025-01-27,248,105745.93,planned
22,DermAssist Webinar Campaign 22,Marketing campaign for DermAssist through Webinar,DermAssist,Webinar,Southeast,2026-01-23,2026-05-10,73,87737.47,paused
